rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
118,"spotify:track:7LjeemSLTrIgPYO9igDTKD","Blessd, SOG","FLETECITO","WEA Latina",49,49,2,"276485"
119,"spotify:track:2ctjDCCg1wHoQSjIJ8p6U4","Plan B","Candy","Pina Records",104,146,73,"276170"
120,"spotify:track:1SCYfmGM5ueb6YiiQbLXVn","Feid","SI TÚ SUPIERAS - Bonus Track","Universal Music Latino",1,136,126,"275851"
121,"spotify:track:1Wrzhfa5bNlqvsnCztz190","Hombres G","Devuélveme a mi chica","WM Spain",121,168,118,"274354"
122,"spotify:track:0BenZn1xELuxhb7Pjwyjxv","Don Omar, Plan B","Hooka","UMLE - Machete",87,128,101,"274171"
123,"spotify:track:1BLceHxSV6Wx1MRC4gkt3f","Hernan Gómez, Luis Alfonso, Pipe Bueno","La Cantina - Remix","Naeku",57,132,9,"273984"
124,"spotify:track:4WiQA1AGWHFvaxBU6bHghs","Quevedo","PUNTO G","Quevedo",20,130,65,"273219"
125,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",114,135,69,"272557"
126,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",3,133,92,"271172"
127,"spotify:track:4eDjNcAyIuJFhQ31Fvvoc1","J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor","On Top of the World Music",83,138,127,"270517"
128,"spotify:track:2Cl4HCBmPddQNZEncdoXp0","Feid, ICON","FERXXO 151","UMLE - Latino",11,147,24,"269588"
129,"spotify:track:71iAechwVKGu26pahzFL0k","Morat","Cuando Nadie Ve","Universal Music Spain S.L.",22,161,256,"268649"
130,"spotify:track:1j6xOGusnyXq3l6IryKF3G","Piso 21, Manuel Turizo","Déjala Que Vuelva (feat. Manuel Turizo)","WM Mexico",1,68,198,"268230"
131,"spotify:track:2ZXu8wKzZ9eSAOHxrxcraF","Yeison Jimenez, Pasabordo","Hasta La Madre","Yj Company - Black Lion Digital",69,123,22,"266934"
132,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",18,151,222,"265992"
133,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",52,126,99,"265267"
134,"spotify:track:3JYw9n3rJTVQryVz1rwlH4","Blessd, Pirlo","Ziploc (Blessd Version)","WEA Latina",12,125,66,"264937"
135,"spotify:track:4loIMejzvt11s97SGVEat8","Xavi, Los Dareyes De La Sierra","Poco A Poco","Interscope Records",110,129,5,"264706"
136,"spotify:track:6G4U9avyBNEfP0fAIduev3","Aventura, Don Omar","Ella Y Yo - Featuring Don Omar","Premium Latin Music",110,166,60,"262557"
137,"spotify:track:6Pur3hWy6Nzc27ilmsp5HA","Los Enanitos Verdes","Lamento Boliviano","EMI Latin",86,155,254,"261916"
138,"spotify:track:2Dbq5moIguMsbRZa9SB7gD","Tony Dize, Yandel","Permitame","WY Records",81,134,138,"261077"
139,"spotify:track:0UXlu64mDLvfzR8IXMz06J","Christian Nodal","Ya No Somos Ni Seremos","Producciones Ladon, S.A de C.V.",51,157,84,"260799"
140,"spotify:track:79zvVrn65ksbiGQxrtV4I5","Don Omar","Guaya Guaya","UMLE - Machete",140,162,14,"259870"
141,"spotify:track:7yIIeKUxTpn36X6CFJhgEi","Bellakath, Dani Flow","Reggaeton Champagne","La Mafia del Perreo",48,141,17,"259451"
142,"spotify:track:447r2keRxpkINmWYp83MlH","Canserbero","Maquiavélico","La Biblioteca, LLC",87,150,35,"258795"
143,"spotify:track:1MfqPCs3Y722VK6zkWZ98Z","Ñejo & Dalmata","Pasarela","Urban Music",54,131,170,"258274"
144,"spotify:track:2beS6dD5rovBxSA1zYoSHR","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,159,247,"258254"
145,"spotify:track:27ze5t5tIDPlVits0KRbxT","Aventura","El Perdedor","Premium Latin Music",145,156,5,"257963"
146,"spotify:track:6lFM8kkmpffm0aq2gzEtEK","Aventura","Dile al Amor","Premium Latin Music",146,183,3,"256528"
147,"spotify:track:16dUQ4quIHDe4ZZ0wF1EMN","KAROL G, Ovy On The Drums","CAIRO","Universal Music Latino",13,181,65,"252292"
148,"spotify:track:0cubEBmB9wjsdBwXNFmzFy","Morat, Feid","Salir Con Vida","Universal Music Spain S.L.",6,185,59,"251569"
149,"spotify:track:5IlLm20JXhKbMtsH20NblC","Rels B","lo que hay x aquí","DALE PLAY Records / Flakk Team",48,194,39,"250841"
150,"spotify:track:3kAURWHIN3R9qUP0h4FOUw","Feid","DESQUITE","UMLE - Latino",16,154,10,"249368"
151,"spotify:track:0a6ogDrZBvYgDjILgsQVaJ","Arcángel","Hace Mucho Tiempo","Pina Records",59,173,69,"249202"
152,"spotify:track:4ObjArCiona7v0xbZ83rUZ","Nova y Jory","Bien Loco","JM World Music",152,186,6,"249091"
153,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",3,163,63,"249037"
154,"spotify:track:6lX6l7OuA3qrnIRfdsr0dw","Blessd, Justin Quiles, Lenny Tavárez","Medallo","WEA Latina",1,145,120,"247870"
155,"spotify:track:2WrqTrNIHqfcMCgmEo0A7E","Feid, KAROL G","FRIKI","Universal Music Latino",9,164,99,"247090"
